Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,1.99,2,1.9,2,362
2022-01-04,2,2.06,1.915,2.05,2906
2022-01-05,2.05,2.05,2.05,2.05,100
2022-01-07,2.03,2.03,1.92,2.03,1685
2022-01-10,2.02,2.02,1.93,2.01,656
2022-01-11,2.01,2.01,1.94,1.99,3164
2022-01-12,1.99,1.99,1.9,1.92,1974
2022-01-13,1.92,1.92,1.91,1.91,750
2022-01-14,1.91,2,1.88,2,545
2022-01-17,1.95,1.95,1.95,1.95,760
2022-01-18,1.93,1.93,1.915,1.915,600
2022-01-19,1.905,1.905,1.89,1.89,200
2022-01-20,1.95,1.965,1.905,1.95,1941
2022-01-21,1.92,1.935,1.92,1.93,2400
2022-01-24,1.93,1.93,1.9,1.9,1170
2022-01-26,1.92,1.92,1.83,1.83,1980
2022-01-27,1.82,1.82,1.81,1.81,200
2022-01-28,1.85,1.85,1.85,1.85,1000
2022-01-31,1.86,1.98,1.86,1.98,940
2022-02-01,1.98,1.98,1.98,1.98,10
2022-02-02,1.98,1.98,1.98,1.98,10
2022-02-03,1.98,1.98,1.95,1.95,1010
2022-02-04,1.98,1.98,1.76,1.95,1710
2022-02-07,1.98,1.98,1.98,1.98,10
2022-02-08,1.96,1.96,1.96,1.96,200
2022-02-09,1.74,1.74,1.74,1.74,200
2022-02-10,1.78,1.98,1.78,1.98,1100
2022-02-14,1.97,1.97,1.97,1.97,10
2022-02-16,1.97,1.97,1.97,1.97,86
2022-02-17,1.965,1.965,1.965,1.965,25
2022-02-18,1.82,1.82,1.82,1.82,90
2022-02-21,1.81,1.81,1.8,1.8,610
2022-02-22,1.84,1.97,1.84,1.97,550
2022-02-24,1.75,1.75,1.5,1.69,4807
2022-02-25,1.685,1.685,1.505,1.645,2750
2022-02-28,1.675,1.675,1.61,1.63,2470
2022-03-01,1.63,1.63,1.63,1.63,50
2022-03-02,1.63,1.63,1.55,1.55,219
2022-03-03,1.61,1.61,1.61,1.61,100
2022-03-07,1.61,1.61,1.42,1.61,1443
2022-03-08,1.6,1.6,1.6,1.6,10
2022-03-09,1.595,1.595,1.49,1.58,1490
2022-03-10,1.58,1.58,1.4,1.43,4384
2022-03-11,1.46,1.46,1.46,1.46,691
2022-03-14,1.5,1.5,1.41,1.41,416
2022-03-15,1.51,1.555,1.51,1.54,550
2022-03-16,1.445,1.545,1.445,1.545,1011
2022-03-17,1.545,1.545,1.545,1.545,110
2022-03-18,1.545,1.74,1.545,1.7,5034
2022-03-21,1.735,1.99,1.735,1.99,7109
2022-03-22,1.975,2.2,1.975,2.1,2620
2022-03-23,2.14,2.3,2.14,2.26,4567
2022-03-24,2.27,2.27,2.25,2.25,650
2022-03-25,2.26,2.4,2.26,2.4,1295
2022-03-28,2.31,2.31,2.22,2.22,845
2022-03-29,2.36,2.6,2.35,2.6,6589
2022-03-30,2.5,2.5,2.5,2.5,675
2022-03-31,2.34,2.5,2.34,2.5,2600
2022-04-01,2.5,2.5,2.32,2.32,1600
2022-04-05,2.32,2.32,2.3,2.3,1143
2022-04-07,2.36,2.36,2.36,2.36,11
2022-04-08,2.24,2.24,2.2,2.2,1741
2022-04-12,2.29,2.34,2.29,2.34,975
2022-04-13,2.8,2.8,2.38,2.76,3275
2022-04-14,2.5,2.58,2.44,2.58,905
2022-04-20,2.58,2.6,2.58,2.6,4000
2022-04-21,2.64,2.64,2.4,2.4,1749
2022-04-22,2.34,2.34,2.3,2.3,835
2022-04-25,2.28,2.34,2.26,2.34,1053
2022-04-26,2.34,2.34,2.2,2.2,555
2022-04-27,2.2,2.2,2.2,2.2,660
2022-04-29,2.2,2.2,2.02,2.16,1215
2022-05-05,2.12,2.26,2.12,2.26,1800
2022-05-09,2.24,2.24,2.24,2.24,157
2022-05-10,2.22,2.22,2.22,2.22,5
2022-05-11,2.22,2.22,2.22,2.22,5
2022-05-12,2.1,2.1,2.08,2.08,500
2022-05-13,2.16,2.16,2.16,2.16,22
2022-05-16,2.1,2.1,1.94,1.94,745
2022-05-17,1.9,1.9,1.9,1.9,3973
2022-05-18,1.81,1.81,1.8,1.8,1327
2022-05-19,1.78,1.78,1.75,1.75,1000
2022-05-25,1.83,1.98,1.83,1.98,121
2022-05-26,1.98,1.98,1.98,1.98,5
2022-05-31,1.98,2.04,1.98,2.04,2077
2022-06-01,2.06,2.06,2.06,2.06,243
2022-06-10,1.95,1.95,1.92,1.92,89
2022-06-24,1.72,1.72,1.72,1.72,250
2022-06-27,1.92,1.92,1.92,1.92,10
2022-06-28,1.7,1.9,1.7,1.9,47
2022-06-29,1.93,2,1.88,1.95,1693
2022-06-30,2,2,1.99,2,57
2022-07-01,2,2,1.7,1.87,798
2022-07-05,1.92,2.28,1.92,2.28,3195
2022-07-06,2.2,2.2,2,2,789
2022-07-08,2.1,2.14,2.1,2.14,33
2022-07-14,2.14,2.14,2.14,2.14,50
2022-07-18,2.14,2.14,2.14,2.14,5
2022-07-22,2.1,2.3,2.1,2.3,1762
2022-07-25,2.3,2.3,2,2,155
2022-07-26,2.2,2.36,1.77,2.36,1614
2022-07-28,2.3,2.3,2.3,2.3,1295
2022-08-01,2.32,2.32,2.32,2.32,11
2022-08-02,2.3,2.3,2.3,2.3,11
2022-08-03,2.32,2.78,2.32,2.78,4242
2022-08-08,2.74,2.74,2.74,2.74,19
2022-08-09,2.74,2.74,2.74,2.74,2
2022-08-10,2.74,2.74,2.74,2.74,500
2022-08-11,2.72,2.72,2.72,2.72,5
2022-08-12,2.52,2.52,2.52,2.52,472
2022-08-16,2.56,2.56,2.56,2.56,100
2022-08-17,2.5,2.5,2.4,2.4,452
2022-08-18,2.48,2.48,2.48,2.48,90
2022-08-26,2.4,2.4,2.3,2.3,523
2022-08-29,2.24,2.24,2.24,2.24,50
2022-09-02,2.2,2.2,2.2,2.2,1050
2022-09-05,2.14,2.14,2.14,2.14,172
2022-09-06,2.14,2.24,2.14,2.24,55
2022-09-07,2.1,2.2,2.06,2.18,4610
2022-09-08,2.18,2.18,2.06,2.06,1139
2022-09-09,2.04,2.18,2.04,2.18,22
2022-09-12,2.04,2.1,2.04,2.1,539
2022-09-16,2,2,2,2,517
2022-09-21,2,2.1,2,2.1,503
2022-09-22,2,2,2,2,1002
2022-09-23,1.9,2.06,1.9,2.06,91
2022-09-28,1.94,1.94,1.92,1.92,4070
2022-09-29,1.64,1.93,1.64,1.93,511
2022-10-10,1.9,2,1.9,2,1000
2022-10-11,2.06,2.06,2.06,2.06,1
2022-10-12,1.91,2.12,1.91,2.12,1584
2022-10-13,2.12,2.14,2,2,6558
2022-10-14,2.04,2.22,2.04,2.22,2000
2022-10-17,2.04,2.04,2.04,2.04,500
2022-10-18,2,2.04,1.85,2.04,1504
2022-10-24,2.04,2.04,2.04,2.04,3272
2022-10-25,2.04,2.04,2.04,2.04,260
2022-10-26,2.04,2.04,2.04,2.04,5
2022-10-27,2.04,2.04,2.04,2.04,165
2022-10-28,2.04,2.04,2.04,2.04,224
2022-10-31,2.04,2.06,2.04,2.06,7
2022-11-03,2.04,2.04,2.04,2.04,71
2022-11-14,2,2,1.91,1.91,1785
2022-11-15,1.95,1.95,1.95,1.95,1335
2022-11-16,1.95,1.95,1.95,1.95,10
2022-11-17,1.95,1.95,1.91,1.91,135
2022-11-18,1.92,2,1.92,2,355
2022-11-22,2,2.08,2,2.08,5645
2022-11-23,2.08,2.08,2,2.08,1260
2022-11-24,2.1,2.1,2.1,2.1,355
2022-11-25,2.08,2.08,2.02,2.08,489
2022-11-28,2.08,2.08,2.08,2.08,965
2022-11-29,2.1,2.28,2.1,2.28,4388
2022-11-30,2.12,2.2,2.12,2.2,211
2022-12-01,2.2,2.2,2.2,2.2,10
2022-12-05,2.2,2.2,2.2,2.2,5
2022-12-06,2.2,2.2,2,2,912
2022-12-08,2,2,1.96,2,4314
2022-12-09,2,2,1.9,1.9,1075
2022-12-13,1.9,1.9,1.85,1.85,80
2022-12-14,1.86,1.86,1.86,1.86,230
2022-12-15,1.9,1.9,1.79,1.79,2778
2022-12-16,1.88,1.89,1.88,1.89,2000
2022-12-19,1.95,2.08,1.95,2.08,589
2022-12-20,1.94,1.94,1.94,1.94,500
2022-12-21,2.1,2.1,2.1,2.1,488
2022-12-22,1.92,1.92,1.9,1.9,168
2022-12-23,1.9,1.9,1.89,1.89,132
2022-12-27,1.89,1.89,1.8,1.8,1201
2022-12-28,1.85,1.85,1.72,1.72,1487
2022-12-29,1.8,1.82,1.8,1.82,1550
2022-12-30,1.85,1.9,1.85,1.9,700
